Drug,geneName,log2FoldChange,padj no NA,pvalue
Enzalutamide,AL031282.1,-0.15395312,1,0.731085674
Enzalutamide,SLC35E2A,0.019334776,1,0.795695434
Enzalutamide,NADK,-0.012778209,1,0.91143447
Enzalutamide,GNB1,-0.067400425,1,0.248621491
Enzalutamide,AL109917.1,0.0861765,1,0.796697187
Enzalutamide,CALML6,0.317925055,1,0.597974103
Enzalutamide,TMEM52,0.001180933,1,0.997988376
Enzalutamide,CFAP74,0.803503814,1,0.477895732
Enzalutamide,GABRD,0.130329728,1,0.774490503
Enzalutamide,AL391845.1,-0.226193006,1,0.723109459
Enzalutamide,PRKCZ,-0.065811599,1,0.833136754
Enzalutamide,AL590822.2,0.061468465,1,0.926804407
Enzalutamide,PRKCZ-AS1,-0.653929398,1,0.025769436
Enzalutamide,FAAP20,0.00745532,1,0.984527468
Enzalutamide,AL590822.1,0,1,1
Enzalutamide,SKI,-0.101444114,1,0.642516665
Enzalutamide,MORN1,-0.070432785,1,0.686243199
Enzalutamide,AL513477.1,-0.073313511,1,0.738595324
Enzalutamide,AL513477.2,-1.474939074,1,0.349446874
Enzalutamide,RER1,-0.047799217,1,0.839927797
Enzalutamide,PEX10,-0.265239247,1,0.414940259
Enzalutamide,PLCH2,0.036782621,1,0.896809331
Enzalutamide,AL139246.1,0.001110187,1,0.999554179
Enzalutamide,AL139246.4,-0.954654756,1,0.625232892
Enzalutamide,PANK4,0.13593847,1,0.623122608
Enzalutamide,HES5,0.949317893,1,0.744123825
Enzalutamide,AL139246.5,0.05587241,1,0.906343643
Enzalutamide,TNFRSF14-AS1,0.284924202,1,0.592988098
Enzalutamide,TNFRSF14,-0.242247407,1,0.482192413
Enzalutamide,AL139246.2,-0.665730021,1,0.510041658
Enzalutamide,AL139246.3,0.050511023,1,0.915613769
Enzalutamide,PRXL2B,-0.008411404,1,0.979954564
Enzalutamide,MMEL1,-0.207801612,1,0.555595173
Enzalutamide,TTC34,-0.157567564,1,0.69311691
Enzalutamide,LINC00982,1.857089228,1,0.731573293
Enzalutamide,PRDM16,0.135397409,1,0.854773956
Enzalutamide,AL008733.1,0.968929012,1,0.809150036
Enzalutamide,ARHGEF16,-0.060690972,1,0.819744273
Enzalutamide,AL512413.1,0.601405383,1,0.734936099
Enzalutamide,MEGF6,-0.072965936,1,0.845279814
Enzalutamide,AL513320.1,1.005358095,1,0.358514964
Enzalutamide,TPRG1L,-0.115172043,1,0.597545339
Enzalutamide,WRAP73,-0.032114231,1,0.812725573
Enzalutamide,TP73,-0.079429498,1,0.801620608
Enzalutamide,AL136528.1,-0.409435209,1,0.442047698
Enzalutamide,TP73-AS1,-0.036188615,1,0.745502026
Enzalutamide,CCDC27,0.109278121,1,0.846123859
Enzalutamide,SMIM1,-0.331721523,1,0.459050139
Enzalutamide,LRRC47,-0.069787185,1,0.703936162
Enzalutamide,RN7SL574P,-0.578226708,1,0.623003813
Enzalutamide,AL365330.1,-0.002774667,1,0.995714985
Enzalutamide,CEP104,-0.059587938,1,0.424454779
Enzalutamide,DFFB,0.20374515,1,0.085193526
Enzalutamide,C1orf174,0.020475521,1,0.890791869
Enzalutamide,LINC01134,-0.718714306,1,0.055581378
Enzalutamide,AL805961.1,0.175002523,1,0.820893658
Enzalutamide,LINC01777,0.059192419,1,0.980370742
Enzalutamide,NPHP4,-0.138469955,1,0.445192155
Enzalutamide,KCNAB2,0.029437873,1,0.923175587
Enzalutamide,CHD5,-0.119007169,1,0.750059644
Enzalutamide,RPL22,0.042211969,1,0.759148177
Enzalutamide,AL031847.1,-0.122826905,1,0.861504921
Enzalutamide,RNF207,0.296281484,1,0.399342959
Enzalutamide,ICMT,-0.046249601,1,0.604907216
Enzalutamide,LINC00337,0.201783504,1,0.624900575
Enzalutamide,GPR153,-0.284610858,1,0.438483486
Enzalutamide,ACOT7,-0.181634862,1,0.638262174
Enzalutamide,HES2,-0.773299588,0.64213315,0.00600938
Enzalutamide,ESPN,-0.160075856,1,0.703784683
Enzalutamide,AL031848.1,0,1,1
Enzalutamide,TNFRSF25,-0.287124158,1,0.546787013
Enzalutamide,PLEKHG5,-0.319293377,1,0.195487695
Enzalutamide,NOL9,-0.071446996,1,0.628492516
Enzalutamide,AL591866.1,0.388642059,1,0.781072105
Enzalutamide,TAS1R1,0.383411765,1,0.326504038
Enzalutamide,ZBTB48,-0.106961642,1,0.644612116
Enzalutamide,KLHL21,0.093914405,1,0.715887667
Enzalutamide,PHF13,0.025949205,1,0.874458161
Enzalutamide,THAP3,0.045591006,1,0.868768491
Enzalutamide,DNAJC11,-0.094735922,1,0.732494015
Enzalutamide,CAMTA1-DT,0.095631921,1,0.720027309
Enzalutamide,CAMTA1,-0.064010004,1,0.750975734
Enzalutamide,CAMTA1-IT1,-1.47810493,1,0.381308731
Enzalutamide,AL359881.3,0.952717691,1,0.652620406
Enzalutamide,AL359881.2,4.176162444,0.481385361,0.004034847
Enzalutamide,AL359881.1,0.148393326,1,0.815637012
Enzalutamide,VAMP3,-0.013296727,1,0.886643824
Enzalutamide,Z98884.2,0.516951885,1,0.532083763
Enzalutamide,PER3,0.294290817,1,0.501765058
Enzalutamide,Z98884.1,-1.358433973,1,0.392129127
Enzalutamide,UTS2,-0.892229894,1,0.645553987
Enzalutamide,TNFRSF9,-1.030198409,1,0.680578232
Enzalutamide,PARK7,-0.025604431,1,0.887503444
Enzalutamide,RF00019,-1.793250903,1,0.171578545
Enzalutamide,AL034417.4,-0.809283434,1,0.405347287
Enzalutamide,AL034417.3,-1.841497215,1,0.783212935
Enzalutamide,ERRFI1,-1.270612135,1.31E-05,1.69E-08
Enzalutamide,AL034417.2,0.968921736,1,0.862093925
Enzalutamide,AL034417.1,0.577498847,1,0.732714404
Enzalutamide,SLC45A1,-0.540775761,1,0.114932516
Enzalutamide,RERE,0.089955655,1,0.549249561
Enzalutamide,AL096855.1,-0.195526017,1,0.756165351
Enzalutamide,RPL7P11,-0.905312001,1,0.820502147
Enzalutamide,RPL7P7,0.782953524,1,0.485719137
Enzalutamide,ENO1,-0.053358318,1,0.904293251
Enzalutamide,ENO1-AS1,0.091175747,1,0.739100307
Enzalutamide,RNU6-304P,0.007140099,1,0.997296435
Enzalutamide,HMGN2P17,-0.830923127,1,0.377375773
Enzalutamide,SLC2A7,0.353922644,1,0.820197458
Enzalutamide,SLC2A5,-0.415777042,1,0.751956301
Enzalutamide,GPR157,0.069966101,1,0.516458662
Enzalutamide,MIR34AHG,0.082613882,1,0.847288621
Enzalutamide,LNCTAM34A,-0.110880109,1,0.625583412
Enzalutamide,H6PD,-0.022244013,1,0.844877672
Enzalutamide,SPSB1,-0.759155193,0.014463332,5.11E-05
Enzalutamide,BX323043.1,-0.405518826,1,0.756697756
Enzalutamide,AL928921.2,-0.281982193,1,0.317977588
Enzalutamide,SLC25A33,-0.217275148,0.152463999,0.000887124
Enzalutamide,AL954705.1,0.432851163,1,0.495405761
Enzalutamide,TMEM201,-0.007288564,1,0.984378949
Enzalutamide,PIK3CD,0.005283204,1,0.973323581
Enzalutamide,PIK3CD-AS2,0.016268678,1,0.964683303
Enzalutamide,CLSTN1,-0.011718488,1,0.967951059
Enzalutamide,AL357140.3,0.007140088,1,0.99790566
Enzalutamide,CTNNBIP1,-0.065713938,1,0.800194474
Enzalutamide,AL357140.5,-0.889074629,1,0.654342461
Enzalutamide,LZIC,-0.069041643,1,0.667831033
Enzalutamide,AL357140.2,-0.123836381,1,0.784359037
Enzalutamide,NMNAT1,-0.032475326,1,0.767458301
Enzalutamide,RN7SKP269,0.447739389,1,0.62704259
Enzalutamide,RBP7,0.103152876,1,0.74527686
Enzalutamide,UBE4B,-0.036921649,1,0.806927515
Enzalutamide,KIF1B,0.002518088,1,0.989659417
Enzalutamide,RNU6-37P,0.043054518,1,0.9846816
Enzalutamide,AL139424.3,1.075576561,1,0.163998662
Enzalutamide,AL139424.2,0.013551931,1,0.978067807
Enzalutamide,PGD,-0.05370942,1,0.853537998
Enzalutamide,AL139424.1,0.599276858,1,0.678100857
Enzalutamide,CENPS-CORT,-0.155041245,1,0.770591657
Enzalutamide,CENPS,0.139898247,1,0.430483292
