Drug,geneName,log2FoldChange,padj no NA,pvalue
Enzalutamide,AL360093.1,2.233676572,1,0.141837693
Enzalutamide,AC096642.1,0.574441929,1,0.756998501
Enzalutamide,ZC3H11B,-0.030256957,1,0.960582233
Enzalutamide,SLC30A10,1.4920459,0.456279785,0.003698707
Enzalutamide,EPRS,0.03182612,1,0.931433202
Enzalutamide,BPNT1,0.138306003,1,0.171395679
Enzalutamide,IARS2,0.070068558,1,0.810537884
Enzalutamide,RPS15AP12,0.826763403,1,0.114934013
Enzalutamide,RAB3GAP2,0.12245742,1,0.820674978
Enzalutamide,AL445435.1,0.007140072,1,0.998362296
Enzalutamide,MORF4L1P1,0.069585453,1,0.781932706
Enzalutamide,AURKAP1,-0.729403841,1,0.576055261
Enzalutamide,AL451081.2,-0.432615204,1,0.539819012
Enzalutamide,MARK1,0.196255731,1,0.563415341
Enzalutamide,C1orf115,0.15692068,0.893872152,0.010268772
Enzalutamide,02-Mar,-0.036486808,1,0.716109945
Enzalutamide,01-Mar,-0.013646575,1,0.874642042
Enzalutamide,RNU6ATAC35P,-0.4347244,1,0.753044279
Enzalutamide,HLX,-0.462055701,1,0.214686538
Enzalutamide,DUSP10,-0.362220504,1,0.199593305
Enzalutamide,AL356108.1,-0.014129191,1,0.986886693
Enzalutamide,AL513314.1,-0.599787316,1,0.726579873
Enzalutamide,CICP13,0.174768115,1,0.819106371
Enzalutamide,AL513314.2,-0.035683021,1,0.926585955
Enzalutamide,AL592148.2,0.89763652,1,0.650142259
Enzalutamide,HHIPL2,-2.000718622,1,0.052682946
Enzalutamide,TAF1A,0.059030797,1,0.906779956
Enzalutamide,TAF1A-AS1,-0.100833986,1,0.695958752
Enzalutamide,MIA3,0.057083287,1,0.901486236
Enzalutamide,AL592148.1,-0.874292262,1,0.80153651
Enzalutamide,AL592148.3,0.259034455,1,0.782702381
Enzalutamide,AIDA,0.161951996,1,0.730787522
Enzalutamide,BROX,-0.009152767,1,0.98599525
Enzalutamide,FAM177B,0.379648065,1,0.205823598
Enzalutamide,AL392172.1,-0.106193591,1,0.625147189
Enzalutamide,AC093152.1,0.968934137,1,0.679894927
Enzalutamide,DISP1,0.081490604,1,0.545204624
Enzalutamide,NDUFB1P2,0.007140036,1,0.998789203
Enzalutamide,TLR5,0.454619587,1,0.227126084
Enzalutamide,AL359979.2,0.583567387,1,0.700881727
Enzalutamide,SUSD4,0.171831691,1,0.266071581
Enzalutamide,CCDC185,0.007140039,1,0.998766708
Enzalutamide,CAPN8,0.004790655,1,0.997613124
Enzalutamide,CAPN2,-0.03041303,1,0.89311216
Enzalutamide,TP53BP2,-0.144052449,1,0.62245593
Enzalutamide,PHBP11,0.154389345,1,0.845237871
Enzalutamide,ACTBP11,-2.470691191,1,0.113098785
Enzalutamide,CICP5,0.639010339,1,0.259914587
Enzalutamide,GTF2IP20,0.183403843,1,0.510781562
Enzalutamide,AC138393.1,0.642607483,1,0.226219495
Enzalutamide,AC138393.3,0.206568371,1,0.797740606
Enzalutamide,AC138393.2,1.174269507,1,0.23973339
Enzalutamide,FBXO28,0.023721601,1,0.957684844
Enzalutamide,AC092809.3,0.511918231,1,0.497160697
Enzalutamide,DEGS1,-0.218885523,0.152463999,0.000881225
Enzalutamide,AC092809.2,0,1,1
Enzalutamide,AC092809.4,0.333525057,1,0.813570033
Enzalutamide,NVL,0.106309967,1,0.592534016
Enzalutamide,MIR320B2,-1.835268684,1,0.648313942
Enzalutamide,CNIH4,-0.0063923,1,0.960343269
Enzalutamide,WDR26,0.091792545,1,0.73628261
Enzalutamide,CNIH3,-0.277991019,1,0.416184883
Enzalutamide,AC096537.1,-0.595609102,1,0.496576216
Enzalutamide,DNAH14,0.193048518,1,0.66036181
Enzalutamide,LBR,0.020391399,1,0.964471281
Enzalutamide,ENAH,-0.030801342,1,0.959941875
Enzalutamide,AC099066.2,0,1,1
Enzalutamide,SRP9,0.080056005,1,0.861666804
Enzalutamide,EPHX1,0.060034376,1,0.879578643
Enzalutamide,AL591895.1,0.348575257,1,0.286129755
Enzalutamide,TMEM63A,0.004718352,1,0.97893753
Enzalutamide,LEFTY1,-1.296493904,1,0.551868214
Enzalutamide,PYCR2,0.000438895,1,0.997356003
Enzalutamide,LEFTY2,-1.842045269,1,0.685852316
Enzalutamide,SDE2,0.015025512,1,0.976990965
Enzalutamide,AL512343.2,0.840730946,1,0.160499984
Enzalutamide,H3F3A,-0.010534694,1,0.923068551
Enzalutamide,LINC01703,0.301849746,1,0.352965494
Enzalutamide,AL512343.1,1.89735918,1,0.260923087
Enzalutamide,ACBD3,-0.039228005,1,0.940963158
Enzalutamide,ACBD3-AS1,0.649456364,1,0.197697437
Enzalutamide,AL592045.1,-0.954648723,1,0.81396735
Enzalutamide,LIN9,0.164010647,1,0.610699468
Enzalutamide,PARP1,-0.072919016,1,0.237361418
Enzalutamide,AL359704.1,0.820209232,1,0.4225024
Enzalutamide,CDKN2AIPNLP1,0.96893439,1,0.664530508
Enzalutamide,STUM,0.286385548,1,0.35508181
Enzalutamide,ITPKB,-0.029847469,1,0.901749916
Enzalutamide,ITPKB-IT1,0.964540132,1,0.686673177
Enzalutamide,PSEN2,-0.097622693,1,0.705846946
Enzalutamide,COQ8A,-0.137873134,1,0.573461553
Enzalutamide,CDC42BPA,-0.182102089,1,0.77321604
Enzalutamide,BTF3P9,-0.23691043,1,0.831415263
Enzalutamide,ZNF678,0.05877389,1,0.938888568
Enzalutamide,AL592310.1,-0.889554374,1,0.909099396
Enzalutamide,SNAP47,-0.010925328,1,0.963749107
Enzalutamide,JMJD4,0.009352257,1,0.978135453
Enzalutamide,SNAP47-AS1,-1.859614679,1,0.369700928
Enzalutamide,WNT9A,0.079678429,1,0.676359066
Enzalutamide,CICP26,-0.733628125,1,0.623992719
Enzalutamide,WNT3A,-0.648254037,1,0.772924656
Enzalutamide,AL136379.1,-0.581834922,1,0.365192339
Enzalutamide,ARF1,-0.090491514,1,0.748906672
Enzalutamide,C1orf35,-0.027942309,1,0.903193858
Enzalutamide,MRPL55,-0.098439217,1,0.776377995
Enzalutamide,FAM96AP2,0.007140096,1,0.997528953
Enzalutamide,AL359510.2,1.79601245,1,0.200943332
Enzalutamide,GUK1,-0.038976637,1,0.920330462
Enzalutamide,GJC2,0.504853305,1,0.617707251
Enzalutamide,IBA57-DT,0.907065239,1,0.20235993
Enzalutamide,IBA57,-0.013517488,1,0.940487145
Enzalutamide,OBSCN-AS1,-0.059014152,1,0.824597351
Enzalutamide,OBSCN,0.217784361,1,0.248283246
Enzalutamide,AL353593.3,0.916750553,1,0.60212023
Enzalutamide,AL670729.3,0.868129649,1,0.758592056
Enzalutamide,TRIM11,-0.041782458,1,0.880737404
Enzalutamide,AL670729.1,-0.154650059,1,0.858327455
Enzalutamide,TRIM17,1.113281188,1,0.102959951
Enzalutamide,HIST3H2A,0.060071748,1,0.860829235
Enzalutamide,HIST3H2BB,0.314995476,1,0.183976332
Enzalutamide,MIR4666A,0.007140096,1,0.997536062
Enzalutamide,HIST3H2BA,0.007140073,1,0.998344347
Enzalutamide,AL139288.1,0.050780059,1,0.912148254
Enzalutamide,RNF187,0.049103633,1,0.899698751
Enzalutamide,BTNL10,-0.954627437,1,0.902758292
Enzalutamide,DUSP5P1,-0.456393627,1,0.754622328
Enzalutamide,FTH1P2,0.060689413,1,0.853114358
Enzalutamide,RHOU,-1.221760585,0.710383485,0.007136337
Enzalutamide,ISCA1P2,0.007140057,1,0.998585408
Enzalutamide,AL137793.1,0.272112791,1,0.713891109
Enzalutamide,AL162595.2,0.045160028,1,0.982594014
Enzalutamide,AL162595.1,-0.158155085,1,0.574092889
Enzalutamide,RAB4A,-0.399103567,0.000154896,2.85E-07
Enzalutamide,AL117350.1,2.413336503,1,0.379197125
Enzalutamide,CCSAP,-0.123883839,1,0.839589892
Enzalutamide,ACTA1,0.007140102,1,0.996956751
Enzalutamide,NUP133,-0.03795946,1,0.852183414
Enzalutamide,AL121990.1,0.009505646,1,0.989509757
Enzalutamide,ABCB10,-0.092814661,1,0.886880835
Enzalutamide,RNA5SP78,-0.954651766,1,0.763687183
Enzalutamide,TAF5L,-0.034284047,1,0.82877103
Enzalutamide,URB2,-0.116899492,1,0.228021813
Enzalutamide,AL354983.1,-0.652200284,1,0.81082548
Enzalutamide,GALNT2,-0.105443761,1,0.488849985
Enzalutamide,AL136988.2,0.267563649,1,0.762116679
Enzalutamide,PGBD5,0.122833375,1,0.571693231
Enzalutamide,COG2,0.021632009,1,0.759207162
Enzalutamide,AGT,0.247948792,1,0.514628963
Enzalutamide,AL512328.1,0.786646605,1,0.906918844
Enzalutamide,CAPN9,-0.314295629,1,0.545442571
Enzalutamide,C1orf198,-0.125189555,1,0.11276795
Enzalutamide,AL118511.1,-0.238441562,1,0.523050626
Enzalutamide,TTC13,0.019561552,1,0.886213997
Enzalutamide,ARV1,-0.069003032,1,0.718031555
Enzalutamide,FAM89A,0.078208662,1,0.630241627
Enzalutamide,AL732414.1,0.245603857,1,0.795787009
Enzalutamide,AL109810.1,0.067120258,1,0.978212241
Enzalutamide,TRIM67,2.69042899,1,0.079265541
Enzalutamide,C1orf131,0.021819502,1,0.947188425
Enzalutamide,GNPAT,-0.10113696,1,0.556493981
Enzalutamide,EXOC8,-0.199321137,1,0.737266775
Enzalutamide,SPRTN,-0.119150449,1,0.785912476
Enzalutamide,EGLN1,-0.002238985,1,0.996312795
Enzalutamide,AL445524.1,-0.163241761,1,0.6659666
Enzalutamide,TSNAX,0.083293321,1,0.897434499
Enzalutamide,DISC1,0.380032696,1,0.539552817
Enzalutamide,SIPA1L2,-0.175286899,1,0.510840189
Enzalutamide,RNU1-74P,0.007140088,1,0.997940817
Enzalutamide,NTPCR,-0.008980981,1,0.971481769
Enzalutamide,PCNX2,-0.012319988,1,0.938024064
Enzalutamide,RPS7P3,-0.548306474,1,0.210253834
Enzalutamide,MAP3K21,0.167468102,1,0.743755442
Enzalutamide,KCNK1,-0.266322676,1,0.476455462
Enzalutamide,AL663058.1,-3.444758285,1,0.436908122
Enzalutamide,SLC35F3,0.584690092,1,0.694113886
Enzalutamide,AL122008.3,-0.954650574,1,0.787818621
Enzalutamide,AL355472.2,-0.236723547,1,0.743897345
Enzalutamide,AL355472.3,3.183047388,1,0.163582147
Enzalutamide,AL355472.4,0.968932045,1,0.75731986
Enzalutamide,AL355472.1,-0.052476534,1,0.819963333
Enzalutamide,COA6,0.025663474,1,0.845687123
Enzalutamide,TARBP1,0.139165333,1,0.731044265
Enzalutamide,LINC01354,0.209168672,1,0.619714147
Enzalutamide,IRF2BP2,0.140454692,1,0.345569533
Enzalutamide,LINC00184,2.711470869,1,0.06317855
Enzalutamide,LINC01132,0.990099676,1,0.347825006
Enzalutamide,AL391832.2,0.330185507,1,0.575629575
Enzalutamide,LINC01348,2.879755453,1,0.115433657
Enzalutamide,AL732292.2,0,1,1
Enzalutamide,TOMM20,0.113653374,1,0.541411282
Enzalutamide,SNORA14B,-0.369868562,1,0.597392056
Enzalutamide,RBM34,0.207870935,1,0.661655886
Enzalutamide,ARID4B,0.156756229,1,0.827865645
Enzalutamide,GGPS1,0.096706855,1,0.788407516
Enzalutamide,TBCE,-0.021788301,1,0.959627783
Enzalutamide,AL391994.1,0.74694202,1,0.626173902
Enzalutamide,AL357556.4,3.620301541,1,0.017421656
Enzalutamide,TBCE.1,0.20805063,1,0.683822919
Enzalutamide,B3GALNT2,0.065816175,1,0.839902226
Enzalutamide,GNG4,0.161916145,1,0.466685181
Enzalutamide,LYST,0.263240647,1,0.67724305
Enzalutamide,LDHAP2,0.583178559,1,0.764981318
Enzalutamide,AL139161.1,0,1,1
Enzalutamide,NID1,-1.010283557,1,0.533470479
Enzalutamide,AL122018.1,0.003073925,1,0.997478253
Enzalutamide,GPR137B,-0.049052776,1,0.701986771
Enzalutamide,ERO1B,-0.054413491,1,0.932539099
Enzalutamide,EDARADD,0.487990884,1,0.631293668
Enzalutamide,LGALS8,0.121875963,1,0.686961921
Enzalutamide,LGALS8-AS1,-0.187747008,1,0.612076592
Enzalutamide,AL359921.2,0.533871084,1,0.411407181
Enzalutamide,AL359921.1,-0.888919522,1,0.613377111
Enzalutamide,HEATR1,0.029313209,1,0.895569606
Enzalutamide,ACTN2,0.940121987,1,0.688872464
Enzalutamide,MTR,-0.020166459,1,0.971250522
Enzalutamide,RPL35P1,0.43443198,1,0.426581285
Enzalutamide,RYR2,0.24876756,1,0.495765425
Enzalutamide,MIR4428,-2.209449065,1,0.137068598
Enzalutamide,LINC01139,0.458859736,1,0.575007286
Enzalutamide,CHRM3,0.234346992,1,0.436106492
Enzalutamide,AL359918.1,0.087246097,1,0.873425862
Enzalutamide,AL590682.1,-1.875519852,1,0.776852813
Enzalutamide,FH,-0.061412239,1,0.656913729
Enzalutamide,KMO,0.007140057,1,0.998582561
Enzalutamide,OPN3,-0.430754369,1,0.461477634
Enzalutamide,CHML,0.18351848,1,0.800544368
Enzalutamide,WDR64,0.968934081,1,0.683032119
Enzalutamide,AL365366.1,-0.676934298,1,0.524196751
Enzalutamide,EXO1,-0.002310606,1,0.993060628
Enzalutamide,CFL1P4,-2.216493335,1,0.382388738
Enzalutamide,MAP1LC3C,-1.853927308,1,0.335328838
Enzalutamide,PLD5,-2.426467863,1,0.326656529
Enzalutamide,AL603825.1,0.014139626,1,0.993622383
Enzalutamide,SEPT14P21,0,1,1
Enzalutamide,AL606534.5,0.877782638,1,0.683242473
Enzalutamide,AL606534.4,0.007140095,1,0.997589306
Enzalutamide,LINC01347,0.044867731,1,0.894026276
Enzalutamide,CEP170,-0.038075206,1,0.95284142
Enzalutamide,AL606534.1,0.007140069,1,0.998402772
Enzalutamide,SDCCAG8,0.042803562,1,0.784971115
Enzalutamide,FCF1P7,0,1,1
Enzalutamide,AKT3,2.466072392,1,0.102211007
Enzalutamide,ZBTB18,0.004945271,1,0.992639805
Enzalutamide,ADSS,0.054759385,1,0.905248959
Enzalutamide,CATSPERE,0.167829746,1,0.835288367
Enzalutamide,DESI2,0.024918084,1,0.951251037
Enzalutamide,AL451007.1,1.840878482,1,0.379346874
Enzalutamide,COX20,0.408850047,1,0.106886221
Enzalutamide,HNRNPU,-0.078596618,1,0.726494426
Enzalutamide,BX323046.1,1.221667241,1,0.280128511
Enzalutamide,AL356512.1,0.049762157,1,0.923011449
Enzalutamide,EFCAB2,0.144149356,1,0.466866636
Enzalutamide,KIF26B,0.10924647,1,0.868085213
Enzalutamide,SMYD3,0.013384654,1,0.925168319
Enzalutamide,TFB2M,0.020374456,1,0.95070089
Enzalutamide,CNST,0.044747035,1,0.911715334
Enzalutamide,AL591623.2,-1.467606113,1,0.706301604
Enzalutamide,AL591848.3,-0.023142322,1,0.985889868
Enzalutamide,AL591848.2,-0.038202725,1,0.979193476
Enzalutamide,SCCPDH,0.027419569,1,0.910534187
Enzalutamide,KIF28P,0.235556255,1,0.758105428
Enzalutamide,AL591848.4,-0.160649043,1,0.774498086
Enzalutamide,LINC01341,-0.021430003,1,0.942508474
Enzalutamide,AHCTF1,-0.080183963,1,0.886072996
Enzalutamide,ZNF695,0.121830467,1,0.742436477
Enzalutamide,ZNF670-ZNF695,-0.249477343,1,0.803056702
Enzalutamide,ZNF670,0.172913948,1,0.759723299
Enzalutamide,ZNF669,-0.023908329,1,0.916465551
Enzalutamide,C1orf229,-1.001721908,1,0.521719777
Enzalutamide,ZNF124,-0.010602983,1,0.98053039
Enzalutamide,AL390728.3,2.499453696,1,0.103589801
Enzalutamide,AL390728.2,0.245124428,1,0.845335803
Enzalutamide,AL390728.6,0.237319546,1,0.743020381
Enzalutamide,AL390728.4,0.406595781,1,0.560230293
Enzalutamide,RNA5SP82,-0.954652904,1,0.730818204
Enzalutamide,AL390728.5,0,1,1
Enzalutamide,AL390728.1,-0.447572471,1,0.413835233
Enzalutamide,RF00019.6,-0.954635257,1,0.88641993
Enzalutamide,ZNF496,0.041761768,1,0.858251885
Enzalutamide,NLRP3,0,1,1
Enzalutamide,OR2C3,0.968907231,1,0.901311088
Enzalutamide,AL390860.1,0,1,1
Enzalutamide,TRIM58,1.454777047,1,0.417196205
Enzalutamide,OR2L1P,0.968934231,1,0.67441548
Enzalutamide,OR2L2,1.951378296,1,0.625562044
Enzalutamide,CR589904.1,1.718734659,1,0.149850788
Enzalutamide,CR589904.2,0.968934848,1,0.630090938
Enzalutamide,LYPD8,-0.183342503,1,0.415056672
Enzalutamide,SH3BP5L,-0.109036978,1,0.647795606
Enzalutamide,ZNF672,-0.117055438,1,0.640407181
Enzalutamide,ZNF692,0.156007564,1,0.394765783
Enzalutamide,AL672291.1,-0.323268081,1,0.766422322
Enzalutamide,PGBD2,0.033611018,1,0.910591057
Enzalutamide,RPL23AP25,0.164771426,1,0.583411074
Enzalutamide,FAM110C,0.220906494,1,0.578540649
Enzalutamide,SH3YL1,0.243353976,1,0.599000247
Enzalutamide,ACP1,0.028549305,1,0.836598281
Enzalutamide,AC079779.2,0.968921865,1,0.861503012
Enzalutamide,TMEM18,0.072048315,1,0.621668788
Enzalutamide,AC092159.2,0.006720562,1,0.995014857
Enzalutamide,AC116609.1,-1.575691201,1,0.169032585
Enzalutamide,LINC01115,0.258757493,1,0.734666907
Enzalutamide,AC116614.1,0.318164599,1,0.346787296
Enzalutamide,SNTG2,-1.113990205,1,0.189668269
Enzalutamide,AC105450.1,0.431434528,1,0.78375814
Enzalutamide,TPO,0.292201464,1,0.512478298
Enzalutamide,AC141930.1,-0.080340693,1,0.88484112
Enzalutamide,AC141930.2,2.451759615,1,0.411326063
Enzalutamide,AC144450.1,0.894272321,1,0.050242288
Enzalutamide,PXDN,-0.011473932,1,0.913101226
Enzalutamide,AC018685.2,1.533656822,1,0.018828292
Enzalutamide,EIPR1,-0.070881333,1,0.739280567
Enzalutamide,EIPR1-IT1,0.47196836,1,0.392015358
Enzalutamide,TRAPPC12,-0.027125308,1,0.859875691
Enzalutamide,TRAPPC12-AS1,-0.045371807,1,0.929864606
Enzalutamide,AC114810.1,0.383814805,1,0.66132109
Enzalutamide,ADI1,0.002794677,1,0.988676716
Enzalutamide,AC231981.1,-0.128077006,1,0.822061522
Enzalutamide,AC108488.1,0.631484933,1,0.275398647
Enzalutamide,RNASEH1,-0.045063309,1,0.697359298
Enzalutamide,RNASEH1-AS1,-0.035263388,1,0.827872697
Enzalutamide,RPS7,-0.031082456,1,0.73823832
Enzalutamide,COLEC11,0,1,1
Enzalutamide,SOX11,0.487474769,1,0.260000815
Enzalutamide,LINC01105,0.0071401,1,0.997243174
Enzalutamide,CMPK2,-0.123577353,1,0.763690987
Enzalutamide,RSAD2,0.690137802,1,0.232794695
Enzalutamide,RNF144A-AS1,1.920012855,1,0.389272593
Enzalutamide,RNF144A,-0.034426592,1,0.891804472
Enzalutamide,AC068481.1,-0.663289577,1,0.786988506
Enzalutamide,LINC01814,1.290269553,1,0.045373542
Enzalutamide,SNRPEP5,0.007140036,1,0.998791164
Enzalutamide,ID2-AS1,0.349470044,1,0.386047526
Enzalutamide,ID2,-0.39745836,1,0.146959958
Enzalutamide,KIDINS220,-0.043936002,1,0.938091929
Enzalutamide,MBOAT2,-0.530951469,1,0.124696001
Enzalutamide,AC093904.2,-1.841749091,1,0.733772137
Enzalutamide,AC093904.4,0.908943347,1,0.615251121
Enzalutamide,AC093904.3,-1.858566398,1,0.689344502
Enzalutamide,ASAP2,0.373614588,1,0.390100026
Enzalutamide,EIF1P7,0.820910036,1,0.457131882
Enzalutamide,ITGB1BP1,-0.052573273,1,0.591868744
Enzalutamide,CPSF3,-0.003266618,1,0.974445316
Enzalutamide,IAH1,0.05304291,1,0.719289745
Enzalutamide,ADAM17,-0.069875441,1,0.849247787
Enzalutamide,AC080162.1,-1.887048191,1,0.221982672
Enzalutamide,AC073195.1,-0.259352771,1,0.480687983
Enzalutamide,YWHAQ,-0.025097576,1,0.707487013
Enzalutamide,AC082651.1,2.191278255,1,0.090500075
Enzalutamide,AC082651.3,1.899027281,1,0.395393145
Enzalutamide,TAF1B,-0.055325439,1,0.84977568
Enzalutamide,AC010969.2,0.134636342,1,0.827192867
Enzalutamide,GRHL1,-0.177919453,1,0.554878459
Enzalutamide,AC010969.1,-1.796528741,1,0.169332903
Enzalutamide,AC104794.2,-0.132158645,1,0.579618052
Enzalutamide,KLF11,0.04085352,1,0.831502349
Enzalutamide,CYS1,0.897698517,1,0.646926034
Enzalutamide,RRM2,-0.159277154,1,0.484392262
Enzalutamide,AC007240.1,1.458133983,1,0.400552375
Enzalutamide,C2orf48,1.859594464,1,0.335463042
Enzalutamide,AC007240.2,-0.046988235,1,0.902591254
Enzalutamide,HPCAL1,-0.106734968,1,0.771410474
Enzalutamide,ODC1,-0.364578816,1,0.119844841
Enzalutamide,SNORA80B,-0.206267995,1,0.870281956
Enzalutamide,AC007249.2,-0.306905804,1,0.107048564
Enzalutamide,AC007249.1,-0.1652744,1,0.70847772
Enzalutamide,NOL10,-0.068676706,1,0.767872491
Enzalutamide,RN7SL832P,0.235235227,1,0.35576629
Enzalutamide,ATP6V1C2,-0.500522124,1,0.266305057
Enzalutamide,AC092687.3,2.848370944,1,0.110279073
Enzalutamide,PDIA6,-0.095429977,1,0.47261833
Enzalutamide,KCNF1,0.968935161,1,0.599326283
Enzalutamide,AC062028.1,0.007140081,1,0.998159059
Enzalutamide,FLJ33534,-1.849260347,1,0.739692181
Enzalutamide,C2orf50,-0.568884134,1,0.710271966
Enzalutamide,PQLC3,0.044843162,1,0.813738536
Enzalutamide,ROCK2,0.323770295,1,0.649638307
Enzalutamide,AC018463.1,0.077641078,1,0.876955366
Enzalutamide,LINC00570,0.880204963,1,0.66743026
Enzalutamide,E2F6,0.014644426,1,0.931321287
Enzalutamide,GREB1,-0.710632495,0.144961191,0.000824184
Enzalutamide,NTSR2,0.751547319,1,0.533132863
Enzalutamide,LPIN1,-0.053267064,1,0.883061872
Enzalutamide,AC106875.1,0.238004903,1,0.790986672
Enzalutamide,AC012456.2,0.763136841,1,0.413884775
Enzalutamide,TRIB2,-1.745774097,0.081519229,0.000385137
Enzalutamide,FAM84A,-0.329509165,1,0.243104095
Enzalutamide,NBAS,-0.075667804,1,0.460758911
Enzalutamide,DDX1,0.03839869,1,0.901605116
Enzalutamide,AC008278.1,0.968930557,1,0.787370899
Enzalutamide,FAM49A,-0.229401533,1,0.340621793
Enzalutamide,PSMC1P10,-0.954651885,1,0.760799777
Enzalutamide,SMC6,0.54908301,1,0.466899859
Enzalutamide,GEN1,0.195410721,1,0.78533145
Enzalutamide,KCNS3,0.194709918,1,0.189149724
Enzalutamide,RDH14,0.117318313,1,0.782585821
Enzalutamide,NT5C1B,-0.573190508,1,0.412178069
Enzalutamide,LINC01376,0.183816504,1,0.735400724
Enzalutamide,CISD1P1,0.939843171,1,0.687464751
Enzalutamide,LINC00954,0.00714008,1,0.99816311
Enzalutamide,TTC32,0.073617142,1,0.863030509
Enzalutamide,AC013400.1,-1.205951174,1,0.151199459
Enzalutamide,WDR35,0.068136097,1,0.883330968
Enzalutamide,AC079145.1,-0.532286044,1,0.42649632
Enzalutamide,MATN3,-0.278756324,1,0.665821482
Enzalutamide,LAPTM4A,-0.069291025,1,0.621233145
Enzalutamide,AC098828.2,2.901326146,1,0.115212364
Enzalutamide,SDC1,-0.018199719,1,0.929747894
Enzalutamide,AC007041.1,0.37686002,1,0.550064307
Enzalutamide,PUM2,-0.010201371,1,0.986349958
Enzalutamide,RHOB,-0.387886155,0.298888577,0.002051254
Enzalutamide,AC023137.1,0.006054545,1,0.996589731
Enzalutamide,AC012065.5,0.043989967,1,0.889284746
Enzalutamide,HS1BP3,-0.140733487,1,0.686447772
Enzalutamide,AC012065.2,0.00714007,1,0.998393023
Enzalutamide,GDF7,0.897098305,1,0.68248346
Enzalutamide,LDAH,0.029729143,1,0.923110172
Enzalutamide,AC012506.4,0.968921684,1,0.862325572
Enzalutamide,KLHL29,-0.627547778,0.000522284,1.14E-06
Enzalutamide,AC009242.1,-0.032739056,1,0.978097464
Enzalutamide,ATAD2B,0.046474585,1,0.942028154
Enzalutamide,PGAM1P6,1.838173502,1,0.407417287
Enzalutamide,UBXN2A,-0.066427732,1,0.847396715
Enzalutamide,SDHCP3,-0.954653663,1,0.699339499
Enzalutamide,MFSD2B,-2.188267978,1,0.106784859
Enzalutamide,WDCP,0.023763358,1,0.923715077
Enzalutamide,FKBP1B,2.451337643,1,0.039892437
Enzalutamide,SF3B6,0.035492667,1,0.93313262
Enzalutamide,FAM228B,-0.092533431,1,0.865407596
Enzalutamide,TP53I3,-0.029513719,1,0.905337064
Enzalutamide,PFN4,0.332540147,1,0.310673651
Enzalutamide,FAM228A,-0.954645991,1,0.839376669
Enzalutamide,ITSN2,0.109416398,1,0.862053829
Enzalutamide,RPL36AP13,0.917970448,1,0.181571242
Enzalutamide,NCOA1,0.274801081,1,0.450662715
Enzalutamide,PTRHD1,-0.00086161,1,0.997236972
Enzalutamide,CENPO,-0.05252973,1,0.845480205
Enzalutamide,ADCY3,-0.033042349,1,0.817944879
Enzalutamide,AC012073.1,0.079557562,1,0.756717819
Enzalutamide,DNAJC27,0.24014428,1,0.649944486
Enzalutamide,DNAJC27-AS1,0.230873973,1,0.326599948
Enzalutamide,EFR3B,0.037183291,1,0.860764953
Enzalutamide,DNMT3A,-0.057146709,1,0.765306094
Enzalutamide,AC012074.1,0.533641663,1,0.085772484
Enzalutamide,DTNB,0.130867002,1,0.582994675
Enzalutamide,ASXL2,0.173958997,1,0.651891519
Enzalutamide,PTGES3P2,1.002224677,1,0.603778131
Enzalutamide,AC064847.1,0.007140057,1,0.998581512
Enzalutamide,KIF3C,-0.113620648,1,0.624998259
Enzalutamide,UQCRHP2,-0.248270096,1,0.696804365
Enzalutamide,TRMT112P6,-0.209530315,1,0.662575088
Enzalutamide,RAB10,0.025279535,1,0.952733687
Enzalutamide,SMARCE1P6,3.166798324,1,0.074386103
Enzalutamide,GAREM2,0.017867207,1,0.944726194
Enzalutamide,HADHA,0.009119017,1,0.965853746
Enzalutamide,HADHB,0.009218085,1,0.91479069
Enzalutamide,ADGRF3,-0.167631547,1,0.794548369
Enzalutamide,SELENOI,0.050294996,1,0.926605305
Enzalutamide,OTOF,0.968931797,1,0.763227157
Enzalutamide,C2orf70,-1.488356168,1,0.562448389
Enzalutamide,KCNK3,-1.41390335,1,0.178115691
Enzalutamide,SLC35F6,-0.036582516,1,0.844653014
Enzalutamide,CENPA,0.079943602,1,0.746025212
Enzalutamide,DPYSL5,-0.091199142,1,0.732324279
Enzalutamide,MAPRE3,-0.080916001,1,0.752670419
Enzalutamide,AC013472.1,-0.888188897,1,0.655899276
Enzalutamide,TMEM214,-0.191045934,1,0.572274025
Enzalutamide,AGBL5,-0.01339217,1,0.966176048
Enzalutamide,AGBL5-AS1,-0.406269687,1,0.664483072
Enzalutamide,AC013472.3,-0.954653072,1,0.724678818
Enzalutamide,AGBL5-IT1,0.10345189,1,0.879669872
Enzalutamide,AC013403.2,0.093185609,1,0.889677997
Enzalutamide,OST4,-0.161148111,1,0.647599528
Enzalutamide,EMILIN1,0.307841626,1,0.269594484
Enzalutamide,KHK,0.097963478,1,0.791040534
Enzalutamide,CGREF1,-0.062902327,1,0.828290083
Enzalutamide,ABHD1,0.007994921,1,0.983860427
Enzalutamide,PREB,-0.174902125,1,0.536681994
Enzalutamide,SLC5A6,-0.027159548,1,0.926596901
Enzalutamide,ATRAID,0.025405523,1,0.935317119
Enzalutamide,CAD,-0.05858431,1,0.855064559
Enzalutamide,SLC30A3,-0.060583796,1,0.912731929
Enzalutamide,TRIM54,0.404438724,1,0.447117878
Enzalutamide,UCN,0.140670455,1,0.639537331
Enzalutamide,MPV17,-0.028331532,1,0.93254789
